Название задачи;Клиент;ИНН/ID клиента;Ответственный;Дата начала;Срок (внутренний);Законный срок;Приоритет;Категория;Период;Плановое время, мин;Чек-лист;Основание;Метка
[TAX-SV-P] Уплата страховых взносов за сентябрь 2026;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;сентябрь 2026;15;;НК РФ ст. 431;2026-10
[HR-10] Приём табеля учёта рабочего времени и данных по отсутствиям;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-01;2026-10-02;;Средний;Зарплата и кадры;сентябрь 2026;20;checklists/payroll.md;ТК РФ ст. 91;2026-10
[PAY-20] Расчёт заработной платы за сентябрь 2026;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-01;2026-10-02;;Высокий;Зарплата и кадры;сентябрь 2026;90;checklists/payroll.md;ТК РФ ст. 136;2026-10
[PAY-30] Расчётные листки и реестр на выплату;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-01;2026-10-02;;Высокий;Зарплата и кадры;сентябрь 2026;30;checklists/payroll.md;ТК РФ ст. 136;2026-10
[TAX-NDFL-N2] Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[TAX-NDFL-P2] Уплата НДФЛ за период с 23 по последнее число прошлого месяца;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
[TAX-SFR-P] Уплата взносов на травматизм в СФР за сентябрь 2026;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;Высокий;Налоги;сентябрь 2026;15;;ФЗ-125 ст. 22;2026-10
[PAY-10] Расчёт и согласование аванса за первую половину месяца;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-13;2026-10-16;;Высокий;Зарплата и кадры;октябрь 2026;60;checklists/payroll.md;ТК РФ ст. 136;2026-10
[REP-6NDFL] 6-НДФЛ за 9 месяцев 2026;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 230;2026-10
[REP-RSV] РСВ за 9 месяцев 2026;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 431;2026-10
[REP-EFS2] ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;Высокий;Отчётность;9 месяцев 2026;45;checklists/reporting.md;ФЗ-125 ст. 24;2026-10
[HR-30] ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;Высокий;Зарплата и кадры;октябрь 2026;30;checklists/hr-events.md;ФЗ-27 ст. 11;2026-10
[TAX-NDFL-N1] Уведомление по НДФЛ за период с 1 по 22 число;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;Высокий;Налоги;октябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[HR-20] Оформление кадровых документов (приём, перевод, увольнение, отпуска);ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-20;2026-10-23;;Средний;Зарплата и кадры;октябрь 2026;60;checklists/hr-events.md;ТК РФ;2026-10
[TAX-NDFL-P1] Уплата НДФЛ за период с 1 по 22 число;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;октябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
[TAX-SV-P] Уплата страховых взносов за сентябрь 2026;ООО «Северный Ветер»;CL-001;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;сентябрь 2026;15;;НК РФ ст. 431;2026-10
[HR-10] Приём табеля учёта рабочего времени и данных по отсутствиям;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-01;2026-10-02;;Средний;Зарплата и кадры;сентябрь 2026;20;checklists/payroll.md;ТК РФ ст. 91;2026-10
[PAY-20] Расчёт заработной платы за сентябрь 2026;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-01;2026-10-02;;Высокий;Зарплата и кадры;сентябрь 2026;90;checklists/payroll.md;ТК РФ ст. 136;2026-10
[PAY-30] Расчётные листки и реестр на выплату;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-01;2026-10-02;;Высокий;Зарплата и кадры;сентябрь 2026;30;checklists/payroll.md;ТК РФ ст. 136;2026-10
[TAX-NDFL-N2] Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[TAX-NDFL-P2] Уплата НДФЛ за период с 23 по последнее число прошлого месяца;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
[TAX-SFR-P] Уплата взносов на травматизм в СФР за сентябрь 2026;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;Высокий;Налоги;сентябрь 2026;15;;ФЗ-125 ст. 22;2026-10
[PAY-10] Расчёт и согласование аванса за первую половину месяца;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-13;2026-10-16;;Высокий;Зарплата и кадры;октябрь 2026;60;checklists/payroll.md;ТК РФ ст. 136;2026-10
[REP-6NDFL] 6-НДФЛ за 9 месяцев 2026;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 230;2026-10
[REP-RSV] РСВ за 9 месяцев 2026;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 431;2026-10
[REP-EFS2] ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;Высокий;Отчётность;9 месяцев 2026;45;checklists/reporting.md;ФЗ-125 ст. 24;2026-10
[HR-30] ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;Высокий;Зарплата и кадры;октябрь 2026;30;checklists/hr-events.md;ФЗ-27 ст. 11;2026-10
[TAX-NDFL-N1] Уведомление по НДФЛ за период с 1 по 22 число;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;Высокий;Налоги;октябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[HR-20] Оформление кадровых документов (приём, перевод, увольнение, отпуска);ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-20;2026-10-23;;Средний;Зарплата и кадры;октябрь 2026;60;checklists/hr-events.md;ТК РФ;2026-10
[TAX-NDFL-P1] Уплата НДФЛ за период с 1 по 22 число;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;октябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
[TAX-SV-P] Уплата страховых взносов за сентябрь 2026;ООО «ТехСервис Плюс»;CL-004;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;сентябрь 2026;15;;НК РФ ст. 431;2026-10
[HR-10] Приём табеля учёта рабочего времени и данных по отсутствиям;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-01;2026-10-02;;Средний;Зарплата и кадры;сентябрь 2026;20;checklists/payroll.md;ТК РФ ст. 91;2026-10
[PAY-20] Расчёт заработной платы за сентябрь 2026;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-01;2026-10-02;;Высокий;Зарплата и кадры;сентябрь 2026;90;checklists/payroll.md;ТК РФ ст. 136;2026-10
[PAY-30] Расчётные листки и реестр на выплату;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-01;2026-10-02;;Высокий;Зарплата и кадры;сентябрь 2026;30;checklists/payroll.md;ТК РФ ст. 136;2026-10
[TAX-NDFL-N2] Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[TAX-NDFL-P2] Уплата НДФЛ за период с 23 по последнее число прошлого месяца;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
[TAX-SFR-P] Уплата взносов на травматизм в СФР за сентябрь 2026;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;Высокий;Налоги;сентябрь 2026;15;;ФЗ-125 ст. 22;2026-10
[PAY-10] Расчёт и согласование аванса за первую половину месяца;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-13;2026-10-16;;Высокий;Зарплата и кадры;октябрь 2026;60;checklists/payroll.md;ТК РФ ст. 136;2026-10
[REP-6NDFL] 6-НДФЛ за 9 месяцев 2026;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 230;2026-10
[REP-RSV] РСВ за 9 месяцев 2026;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 431;2026-10
[REP-EFS2] ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;Высокий;Отчётность;9 месяцев 2026;45;checklists/reporting.md;ФЗ-125 ст. 24;2026-10
[HR-30] ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;Высокий;Зарплата и кадры;октябрь 2026;30;checklists/hr-events.md;ФЗ-27 ст. 11;2026-10
[TAX-NDFL-N1] Уведомление по НДФЛ за период с 1 по 22 число;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;Высокий;Налоги;октябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[HR-20] Оформление кадровых документов (приём, перевод, увольнение, отпуска);ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-20;2026-10-23;;Средний;Зарплата и кадры;октябрь 2026;60;checklists/hr-events.md;ТК РФ;2026-10
[TAX-NDFL-P1] Уплата НДФЛ за период с 1 по 22 число;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;октябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
[TAX-SV-P] Уплата страховых взносов за сентябрь 2026;ООО «Уютный Дом»;CL-002;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;сентябрь 2026;15;;НК РФ ст. 431;2026-10
[QC-10] Выборочный контроль качества учёта по клиенту;ИП Кузнецов Д.А.;CL-003;Смирнова О.В.;2026-10-19;2026-10-22;;Средний;Контроль;сентябрь 2026;45;checklists/qc.md;Регламент агентства;2026-10
[INT-30] Планирование и распределение задач на следующий месяц;ИП Кузнецов Д.А.;CL-003;Смирнова О.В.;2026-10-20;2026-10-23;;Средний;Внутренние;октябрь 2026;60;checklists/planning.md;Регламент агентства;2026-10
[QC-10] Выборочный контроль качества учёта по клиенту;ИП Морозова Е.В.;CL-005;Смирнова О.В.;2026-10-19;2026-10-22;;Средний;Контроль;сентябрь 2026;45;checklists/qc.md;Регламент агентства;2026-10
[INT-30] Планирование и распределение задач на следующий месяц;ИП Морозова Е.В.;CL-005;Смирнова О.В.;2026-10-20;2026-10-23;;Средний;Внутренние;октябрь 2026;60;checklists/planning.md;Регламент агентства;2026-10
[QC-10] Выборочный контроль качества учёта по клиенту;ИП Новиков С.С.;CL-008;Смирнова О.В.;2026-10-19;2026-10-22;;Средний;Контроль;сентябрь 2026;45;checklists/qc.md;Регламент агентства;2026-10
[INT-30] Планирование и распределение задач на следующий месяц;ИП Новиков С.С.;CL-008;Смирнова О.В.;2026-10-20;2026-10-23;;Средний;Внутренние;октябрь 2026;60;checklists/planning.md;Регламент агентства;2026-10
[QC-10] Выборочный контроль качества учёта по клиенту;ООО «Бар Панорама»;CL-007;Смирнова О.В.;2026-10-19;2026-10-22;;Средний;Контроль;сентябрь 2026;45;checklists/qc.md;Регламент агентства;2026-10
[INT-30] Планирование и распределение задач на следующий месяц;ООО «Бар Панорама»;CL-007;Смирнова О.В.;2026-10-20;2026-10-23;;Средний;Внутренние;октябрь 2026;60;checklists/planning.md;Регламент агентства;2026-10
[QC-10] Выборочный контроль качества учёта по клиенту;ООО «Гранд Логистика»;CL-006;Смирнова О.В.;2026-10-19;2026-10-22;;Средний;Контроль;сентябрь 2026;45;checklists/qc.md;Регламент агентства;2026-10
[INT-30] Планирование и распределение задач на следующий месяц;ООО «Гранд Логистика»;CL-006;Смирнова О.В.;2026-10-20;2026-10-23;;Средний;Внутренние;октябрь 2026;60;checklists/planning.md;Регламент агентства;2026-10
[QC-10] Выборочный контроль качества учёта по клиенту;ООО «Импорт Трейд»;CL-010;Смирнова О.В.;2026-10-19;2026-10-22;;Средний;Контроль;сентябрь 2026;45;checklists/qc.md;Регламент агентства;2026-10
[INT-30] Планирование и распределение задач на следующий месяц;ООО «Импорт Трейд»;CL-010;Смирнова О.В.;2026-10-20;2026-10-23;;Средний;Внутренние;октябрь 2026;60;checklists/planning.md;Регламент агентства;2026-10
[QC-10] Выборочный контроль качества учёта по клиенту;ООО «МедиаЛаб»;CL-009;Смирнова О.В.;2026-10-19;2026-10-22;;Средний;Контроль;сентябрь 2026;45;checklists/qc.md;Регламент агентства;2026-10
[INT-30] Планирование и распределение задач на следующий месяц;ООО «МедиаЛаб»;CL-009;Смирнова О.В.;2026-10-20;2026-10-23;;Средний;Внутренние;октябрь 2026;60;checklists/planning.md;Регламент агентства;2026-10
[QC-10] Выборочный контроль качества учёта по клиенту;ООО «Северный Ветер»;CL-001;Смирнова О.В.;2026-10-19;2026-10-22;;Средний;Контроль;сентябрь 2026;45;checklists/qc.md;Регламент агентства;2026-10
[INT-30] Планирование и распределение задач на следующий месяц;ООО «Северный Ветер»;CL-001;Смирнова О.В.;2026-10-20;2026-10-23;;Средний;Внутренние;октябрь 2026;60;checklists/planning.md;Регламент агентства;2026-10
[QC-10] Выборочный контроль качества учёта по клиенту;ООО «ТехСервис Плюс»;CL-004;Смирнова О.В.;2026-10-19;2026-10-22;;Средний;Контроль;сентябрь 2026;45;checklists/qc.md;Регламент агентства;2026-10
[INT-30] Планирование и распределение задач на следующий месяц;ООО «ТехСервис Плюс»;CL-004;Смирнова О.В.;2026-10-20;2026-10-23;;Средний;Внутренние;октябрь 2026;60;checklists/planning.md;Регламент агентства;2026-10
[QC-10] Выборочный контроль качества учёта по клиенту;ООО «Уютный Дом»;CL-002;Смирнова О.В.;2026-10-19;2026-10-22;;Средний;Контроль;сентябрь 2026;45;checklists/qc.md;Регламент агентства;2026-10
[INT-30] Планирование и распределение задач на следующий месяц;ООО «Уютный Дом»;CL-002;Смирнова О.В.;2026-10-20;2026-10-23;;Средний;Внутренние;октябрь 2026;60;checklists/planning.md;Регламент агентства;2026-10
[DOC-10] Запрос первичных документов за сентябрь 2026;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-01;2026-10-01;;Средний;Первичка;сентябрь 2026;15;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-10] Разнесение банковских выписок за сентябрь 2026;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-05;2026-10-08;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[DOC-20] Контроль поступления первички, реестр недостающих документов;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-05;2026-10-08;;Средний;Первичка;сентябрь 2026;30;checklists/doc-sbor.md;Регламент агентства;2026-10
[DOC-40] Обработка ЭДО и загрузка сканов в 1С;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-06;2026-10-09;;Средний;Первичка;сентябрь 2026;60;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-20] Проведение поступлений и реализаций за сентябрь 2026;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;120;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[ACC-30] Проверка кассовой дисциплины и сверка с ОФД;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;2026-10
[DOC-30] Эскалация по непредоставленным документам (письмо-претензия клиенту);ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-07;2026-10-12;;Средний;Первичка;сентябрь 2026;20;checklists/escalation.md;Договор, п. об обязанностях клиента;2026-10
[ACC-50] Экспресс-проверка и закрытие месяца в 1С;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-12;2026-10-15;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;Регламент агентства;2026-10
[ACC-70] Контроль сальдо ЕНС и сверка с ФНС;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-13;2026-10-16;;Средний;Учёт;октябрь 2026;30;checklists/ens.md;НК РФ ст. 11.3;2026-10
[ACC-60] Сверка взаиморасчётов с ключевыми контрагентами;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-15;2026-10-20;;Средний;Учёт;III квартал 2026;90;;ФЗ-402 ст. 11;2026-10
[CLI-10] Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-15;2026-10-20;;Средний;Клиентский сервис;сентябрь 2026;30;checklists/client-report.md;Договор;2026-10
[REP-KUDIR] Актуализация и проверка КУДиР;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-15;2026-10-20;;Низкий;Учёт;III квартал 2026;45;;Приказ ФНС ЕД-7-3/816;2026-10
[REP-STAT] Проверка перечня форм статистики на сайте Росстата и сдача;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-15;2026-10-20;;Средний;Отчётность;III квартал 2026;45;;ФЗ-282;2026-10
[TAX-PATENT] Контроль сроков и оплата патента;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-15;2026-10-20;;Высокий;Налоги;октябрь 2026;20;;НК РФ ст. 346.51;2026-10
[ACC-90] Отчёт по прослеживаемым товарам / контроль маркировки;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-16;2026-10-21;2026-10-26;Высокий;Учёт;III квартал 2026;60;;ПП РФ 1108;2026-10
[CLI-30] Сверка объёма услуг, акт и счёт за сентябрь 2026;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-19;2026-10-22;;Средний;Клиентский сервис;сентябрь 2026;20;;Договор;2026-10
[DOC-50] Архивирование документов закрытого периода;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-20;2026-10-23;;Низкий;Первичка;сентябрь 2026;20;;ФЗ-402 ст. 29;2026-10
[QC-20] Контроль квитанций и протоколов по отправленной отчётности;ИП Морозова Е.В.;CL-005;Соколов П.Р.;2026-10-23;2026-10-28;;Высокий;Контроль;октябрь 2026;20;checklists/reporting.md;Регламент агентства;2026-10
[DOC-10] Запрос первичных документов за сентябрь 2026;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-01;2026-10-01;;Средний;Первичка;сентябрь 2026;15;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-10] Разнесение банковских выписок за сентябрь 2026;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-05;2026-10-08;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[DOC-20] Контроль поступления первички, реестр недостающих документов;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-05;2026-10-08;;Средний;Первичка;сентябрь 2026;30;checklists/doc-sbor.md;Регламент агентства;2026-10
[DOC-40] Обработка ЭДО и загрузка сканов в 1С;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-06;2026-10-09;;Средний;Первичка;сентябрь 2026;60;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-20] Проведение поступлений и реализаций за сентябрь 2026;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;120;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[DOC-30] Эскалация по непредоставленным документам (письмо-претензия клиенту);ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-07;2026-10-12;;Средний;Первичка;сентябрь 2026;20;checklists/escalation.md;Договор, п. об обязанностях клиента;2026-10
[ACC-50] Экспресс-проверка и закрытие месяца в 1С;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-12;2026-10-15;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;Регламент агентства;2026-10
[NDS-10] Сверка книг покупок и продаж, контроль разрывов по НДС;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-12;2026-10-15;;Средний;Налоги;III квартал 2026;120;checklists/nds.md;НК РФ гл. 21;2026-10
[ACC-70] Контроль сальдо ЕНС и сверка с ФНС;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-13;2026-10-16;;Средний;Учёт;октябрь 2026;30;checklists/ens.md;НК РФ ст. 11.3;2026-10
[REP-NDS] Декларация по НДС за III квартал 2026;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;III квартал 2026;120;checklists/nds.md;НК РФ ст. 174;2026-10
[REP-PRIB] Декларация по налогу на прибыль за 9 месяцев 2026;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;120;checklists/reporting.md;НК РФ ст. 289;2026-10
[ACC-60] Сверка взаиморасчётов с ключевыми контрагентами;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-15;2026-10-20;;Средний;Учёт;III квартал 2026;90;;ФЗ-402 ст. 11;2026-10
[CLI-10] Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-15;2026-10-20;;Средний;Клиентский сервис;сентябрь 2026;30;checklists/client-report.md;Договор;2026-10
[REP-STAT] Проверка перечня форм статистики на сайте Росстата и сдача;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-15;2026-10-20;;Средний;Отчётность;III квартал 2026;45;;ФЗ-282;2026-10
[TAX-PROP-N] Уведомление и уплата авансов по имущественным налогам за III квартал 2026;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-16;2026-10-21;2026-10-26;Высокий;Налоги;III квартал 2026;45;;НК РФ ст. 383, 397, 363;2026-10
[CLI-30] Сверка объёма услуг, акт и счёт за сентябрь 2026;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-19;2026-10-22;;Средний;Клиентский сервис;сентябрь 2026;20;;Договор;2026-10
[DOC-50] Архивирование документов закрытого периода;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-20;2026-10-23;;Низкий;Первичка;сентябрь 2026;20;;ФЗ-402 ст. 29;2026-10
[TAX-NDS-P] Уплата 1/3 НДС за III квартал 2026;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;III квартал 2026;15;checklists/nds.md;НК РФ ст. 174 п. 1;2026-10
[TAX-PRIB-P] Уплата налога на прибыль за 9 месяцев 2026;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;9 месяцев 2026;15;;НК РФ ст. 287;2026-10
[QC-20] Контроль квитанций и протоколов по отправленной отчётности;ООО «Гранд Логистика»;CL-006;Соколов П.Р.;2026-10-23;2026-10-28;;Высокий;Контроль;октябрь 2026;20;checklists/reporting.md;Регламент агентства;2026-10
[DOC-10] Запрос первичных документов за сентябрь 2026;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-01;2026-10-01;;Средний;Первичка;сентябрь 2026;15;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-10] Разнесение банковских выписок за сентябрь 2026;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-05;2026-10-08;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[DOC-20] Контроль поступления первички, реестр недостающих документов;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-05;2026-10-08;;Средний;Первичка;сентябрь 2026;30;checklists/doc-sbor.md;Регламент агентства;2026-10
[DOC-40] Обработка ЭДО и загрузка сканов в 1С;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-06;2026-10-09;;Средний;Первичка;сентябрь 2026;60;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-20] Проведение поступлений и реализаций за сентябрь 2026;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;120;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[DOC-30] Эскалация по непредоставленным документам (письмо-претензия клиенту);ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-07;2026-10-12;;Средний;Первичка;сентябрь 2026;20;checklists/escalation.md;Договор, п. об обязанностях клиента;2026-10
[ACC-50] Экспресс-проверка и закрытие месяца в 1С;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-12;2026-10-15;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;Регламент агентства;2026-10
[NDS-10] Сверка книг покупок и продаж, контроль разрывов по НДС;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-12;2026-10-15;;Средний;Налоги;III квартал 2026;120;checklists/nds.md;НК РФ гл. 21;2026-10
[ACC-70] Контроль сальдо ЕНС и сверка с ФНС;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-13;2026-10-16;;Средний;Учёт;октябрь 2026;30;checklists/ens.md;НК РФ ст. 11.3;2026-10
